whiskey_name,brand,type,age,abv,region,cask_type,bottling_type,retail_price_usd,is_limited_edition,release_year,average_rating,award_wins,rating_category,category
Macallan 27 Tequila Cask,Macallan,Scotch,27,57.2,Highlands,Tequila,Single Malt,208.74,False,2002,98.4,3,Excellent,Exclusive
Lagavulin 11 Bourbon Cask,Lagavulin,Irish,11,55.3,Cork,Bourbon,Single Malt,196.85,False,1999,91.9,3,High,Exclusive
Yamazaki NAS Sherry Cask,Yamazaki,Japanese,0,41.1,Honshu,Sherry,Single Malt,346.79,False,2006,85.4,1,Medium,Luxury
Lagavulin 10 Port Cask,Lagavulin,Japanese,10,42.4,Honshu,Port,Single Malt,316.64,False,2014,92.1,2,High,Luxury
Jack Daniel's NAS Wine Cask,Jack Daniel's,Irish,0,41.5,Cork,Wine,Single Cask,420.42,False,1992,86.3,2,Medium,Luxury
Buffalo Trace 29 Port Cask,Buffalo Trace,Rye,29,57.5,USA,Port,Blended,170.22,True,1995,94.6,0,High,Exclusive
Balvenie 9 Port Cask,Balvenie,Bourbon,9,49.5,Tennessee,Port,Blended,230.62,False,2020,91.7,2,High,Exclusive
Lagavulin 23 Tequila Cask,Lagavulin,Scotch,23,42.1,Speyside,Tequila,Cask Strength,263.18,False,1999,94.9,1,High,Exclusive
Jameson 28 Rum Cask,Jameson,Irish,28,55.7,Cork,Rum,Single Cask,201.97,False,2000,97.0,2,Excellent,Exclusive
Jameson 22 Port Cask,Jameson,Bourbon,22,49.7,Tennessee,Port,Single Malt,461.71,False,1997,94.7,2,High,Luxury
Buffalo Trace NAS Tequila Cask,Buffalo Trace,Irish,0,63.6,Unknown,Tequila,Blended,420.36,False,1999,89.5,5,Medium,Luxury
Highland Park 10 Sherry Cask,Highland Park,Bourbon,10,59.0,Kentucky,Sherry,Blended,234.61,False,2013,91.5,1,High,Exclusive
Balvenie 14 Sherry Cask,Balvenie,Rye,14,52.3,USA,Sherry,Single Cask,454.84,False,1999,89.4,2,Medium,Luxury
Glenfiddich 7 Wine Cask,Glenfiddich,Bourbon,7,57.9,Tennessee,Wine,Single Malt,512.36,True,2025,89.4,2,Medium,Luxury
Jameson 23 Rum Cask,Jameson,Irish,23,57.0,Cork,Rum,Single Malt,459.82,False,2025,93.1,2,High,Luxury
Lagavulin 27 Wine Cask,Lagavulin,Bourbon,27,53.1,Kentucky,Wine,Cask Strength,312.37,False,1996,95.1,1,Excellent,Luxury
Yamazaki 21 Port Cask,Yamazaki,Bourbon,21,45.9,Tennessee,Port,Blended,107.73,False,2023,96.7,2,Excellent,Premium
Buffalo Trace 17 Tequila Cask,Buffalo Trace,Bourbon,17,45.9,Kentucky,Tequila,Blended,394.44,False,1990,93.8,3,High,Luxury
Glenfiddich 30 Wine Cask,Glenfiddich,Scotch,30,58.1,Speyside,Wine,Cask Strength,170.77,False,2022,95.1,0,Excellent,Exclusive
Highland Park 11 Bourbon Cask,Highland Park,Rye,11,43.0,USA,Bourbon,Blended,135.02,False,2022,91.4,1,High,Exclusive
Highland Park 8 Port Cask,Highland Park,Rye,8,55.0,USA,Port,Blended,267.92,False,2025,86.8,1,Medium,Exclusive
Balvenie 22 Rum Cask,Balvenie,Japanese,22,55.8,Hokkaido,Rum,Single Cask,265.32,False,2025,96.9,2,Excellent,Exclusive
Buffalo Trace 23 Sherry Cask,Buffalo Trace,Rye,23,45.5,USA,Sherry,Cask Strength,95.97,False,2017,95.7,2,Excellent,Premium
Yamazaki 19 Wine Cask,Yamazaki,Irish,19,53.4,Cork,Wine,Cask Strength,100.81,False,1996,92.4,1,High,Premium
Lagavulin 12 Wine Cask,Lagavulin,Rye,12,48.9,Canada,Wine,Cask Strength,281.44,True,2022,94.2,4,High,Luxury
Lagavulin 4 Sherry Cask,Lagavulin,Irish,4,50.5,Dublin,Sherry,Cask Strength,324.79,False,2005,86.6,0,Medium,Luxury
Highland Park 19 Sherry Cask,Highland Park,Bourbon,19,52.7,Tennessee,Sherry,Single Malt,390.68,False,2015,94.0,3,High,Luxury
Balvenie 3 Port Cask,Balvenie,Scotch,3,45.9,Lowlands,Port,Single Cask,256.58,False,2025,84.6,1,Low,Exclusive
Highland Park 50 Tequila Cask,Highland Park,Scotch,50,33.2,Unknown,Tequila,Cask Strength,398.11,False,2007,99.9,0,Excellent,Luxury
Buffalo Trace 28 Bourbon Cask,Buffalo Trace,Scotch,28,51.6,Lowlands,Bourbon,Single Cask,273.0,False,2002,96.6,3,Excellent,Exclusive
Yamazaki 20 Rum Cask,Yamazaki,Japanese,20,42.5,Honshu,Rum,Cask Strength,334.36,False,1996,95.1,2,Excellent,Luxury
Macallan 15 Bourbon Cask,Macallan,Irish,15,48.0,Cork,Bourbon,Cask Strength,395.63,False,2012,92.2,3,High,Luxury
Highland Park 16 Sherry Cask,Highland Park,Irish,16,40.5,Cork,Sherry,Cask Strength,80.33,False,2007,88.7,0,Medium,Standard
Ardbeg 24 Sherry Cask,Ardbeg,Rye,24,47.1,USA,Sherry,Blended,138.55,True,2014,93.3,1,High,Exclusive
Yamazaki 8 Wine Cask,Yamazaki,Japanese,8,59.1,Hokkaido,Wine,Cask Strength,266.83,False,2011,88.5,2,Medium,Exclusive
Macallan 22 Port Cask,Macallan,Rye,22,51.5,USA,Port,Blended,97.17,False,2012,95.1,1,Excellent,Premium
Buffalo Trace 18 Sherry Cask,Buffalo Trace,Irish,18,53.5,Dublin,Sherry,Blended,419.51,False,1996,94.4,2,High,Luxury
Ardbeg 11 Wine Cask,Ardbeg,Scotch,11,46.2,Speyside,Wine,Blended,282.66,True,2016,88.2,1,Medium,Luxury
Yamazaki 18 Tequila Cask,Yamazaki,Bourbon,18,50.0,Tennessee,Tequila,Blended,460.3,False,2021,90.0,0,High,Luxury
Buffalo Trace 14 Port Cask,Buffalo Trace,Rye,14,44.0,USA,Port,Single Malt,308.14,True,2022,90.8,0,High,Luxury
Highland Park 9 Bourbon Cask,Highland Park,Rye,9,59.0,Canada,Bourbon,Single Malt,280.5,False,2005,89.9,1,Medium,Luxury
Lagavulin 20 Bourbon Cask,Lagavulin,Bourbon,20,42.9,Tennessee,Bourbon,Cask Strength,343.58,False,2005,91.2,2,High,Luxury
Jameson NAS Tequila Cask,Jameson,Japanese,0,50.3,Hokkaido,Tequila,Cask Strength,405.78,False,2009,86.9,3,Medium,Luxury
Lagavulin 5 Port Cask,Lagavulin,Irish,5,45.9,Cork,Port,Cask Strength,119.4,False,2003,87.2,2,Medium,Premium
Ardbeg 26 Wine Cask,Ardbeg,Bourbon,26,41.6,Kentucky,Wine,Blended,486.84,True,1998,95.0,2,Excellent,Luxury
Balvenie 21 Sherry Cask,Balvenie,Japanese,21,53.6,Honshu,Sherry,Single Malt,150.4,False,1998,89.8,0,Medium,Exclusive
Lagavulin 9 Bourbon Cask,Lagavulin,Bourbon,9,52.1,Tennessee,Bourbon,Single Cask,267.04,False,2005,87.9,0,Medium,Exclusive
Macallan 17 Wine Cask,Macallan,Irish,17,53.9,Cork,Wine,Single Malt,83.05,True,2019,92.3,2,High,Standard
Highland Park 5 Tequila Cask,Highland Park,Japanese,5,60.0,Honshu,Tequila,Single Cask,36.82,False,2008,88.7,2,Medium,Basic
Jameson 28 Tequila Cask,Jameson,Scotch,28,45.3,Lowlands,Tequila,Cask Strength,258.09,False,2014,93.5,0,High,Exclusive
Lagavulin 29 Sherry Cask,Lagavulin,Scotch,29,51.4,Highlands,Sherry,Single Cask,359.76,False,2007,100.7,6,Excellent,Luxury
Balvenie NAS Sherry Cask,Balvenie,Scotch,0,57.2,Islay,Sherry,Blended,490.13,False,2023,86.0,1,Medium,Luxury
Highland Park 3 Bourbon Cask,Highland Park,Japanese,3,41.1,Hokkaido,Bourbon,Blended,150.72,True,1999,88.4,2,Medium,Exclusive
Jack Daniel's NAS Wine Cask,Jack Daniel's,Irish,0,51.5,Dublin,Wine,Blended,135.14,False,2009,89.8,2,Medium,Exclusive
Yamazaki NAS Tequila Cask,Yamazaki,Bourbon,0,32.7,Unknown,Tequila,Blended,332.14,False,1993,87.6,2,Medium,Luxury
Balvenie NAS Sherry Cask,Balvenie,Bourbon,0,56.2,Kentucky,Sherry,Single Cask,177.46,False,2025,87.8,2,Medium,Exclusive
Buffalo Trace NAS Tequila Cask,Buffalo Trace,Scotch,0,51.1,Unknown,Tequila,Single Malt,451.86,False,1994,88.0,3,Medium,Luxury
Ardbeg 30 Rum Cask,Ardbeg,Japanese,30,55.1,Hokkaido,Rum,Cask Strength,55.48,False,1990,95.9,0,Excellent,Standard
Glenfiddich 24 Bourbon Cask,Glenfiddich,Rye,24,45.6,Canada,Bourbon,Blended,69.74,False,2019,93.7,2,High,Standard
Yamazaki 18 Bourbon Cask,Yamazaki,Japanese,18,44.6,Honshu,Bourbon,Single Malt,132.18,False,2007,93.1,2,High,Exclusive
Ardbeg 20 Port Cask,Ardbeg,Scotch,20,48.0,Lowlands,Port,Cask Strength,26.59,False,2023,95.3,4,Excellent,Basic
Glenfiddich 20 Wine Cask,Glenfiddich,Irish,20,50.7,Cork,Wine,Single Malt,446.94,True,2022,93.8,2,High,Luxury
Balvenie 24 Wine Cask,Balvenie,Bourbon,24,53.4,Tennessee,Wine,Single Malt,338.61,False,2021,92.5,0,High,Luxury
Macallan 3 Port Cask,Macallan,Scotch,3,59.0,Speyside,Port,Cask Strength,442.48,True,1999,88.8,2,Medium,Luxury
Highland Park 9 Rum Cask,Highland Park,Japanese,9,42.6,Hokkaido,Rum,Single Malt,43.94,False,1996,92.0,2,High,Basic
Ardbeg 25 Sherry Cask,Ardbeg,Scotch,25,43.3,Speyside,Sherry,Single Cask,205.75,False,2016,94.2,0,High,Exclusive
Ardbeg 9 Wine Cask,Ardbeg,Bourbon,9,46.3,Kentucky,Wine,Blended,377.12,False,2023,85.8,1,Medium,Luxury
Yamazaki 5 Port Cask,Yamazaki,Irish,5,43.7,Dublin,Port,Single Malt,278.27,False,2006,92.1,2,High,Luxury
Jack Daniel's 8 Tequila Cask,Jack Daniel's,Rye,8,53.9,Canada,Tequila,Blended,370.85,False,2008,88.7,3,Medium,Luxury
Balvenie 3 Wine Cask,Balvenie,Bourbon,3,58.2,Kentucky,Wine,Single Cask,46.75,False,2014,87.4,1,Medium,Basic
Yamazaki 18 Wine Cask,Yamazaki,Rye,18,40.7,USA,Wine,Single Cask,437.17,False,1990,95.8,2,Excellent,Luxury
Macallan 25 Tequila Cask,Macallan,Irish,25,59.3,Cork,Tequila,Single Cask,524.41,False,2024,93.9,1,High,Luxury
Lagavulin 21 Wine Cask,Lagavulin,Bourbon,21,48.7,Kentucky,Wine,Blended,70.02,False,2022,95.4,2,Excellent,Standard
Glenfiddich 21 Bourbon Cask,Glenfiddich,Japanese,21,49.3,Honshu,Bourbon,Single Cask,532.19,True,2015,97.5,4,Excellent,Luxury
Macallan 17 Bourbon Cask,Macallan,Irish,17,51.7,Dublin,Bourbon,Single Malt,503.61,False,1993,91.1,1,High,Luxury
Highland Park 23 Bourbon Cask,Highland Park,Bourbon,23,57.4,Tennessee,Bourbon,Cask Strength,73.65,False,1991,93.2,2,High,Standard
Buffalo Trace 24 Sherry Cask,Buffalo Trace,Bourbon,24,54.1,Tennessee,Sherry,Single Malt,47.18,True,2005,97.0,1,Excellent,Basic
Balvenie 25 Bourbon Cask,Balvenie,Irish,25,55.7,Dublin,Bourbon,Blended,278.71,False,2018,94.5,1,High,Luxury
Buffalo Trace 26 Bourbon Cask,Buffalo Trace,Japanese,26,46.2,Honshu,Bourbon,Single Malt,338.04,True,2003,95.8,0,Excellent,Luxury
Glenfiddich 28 Port Cask,Glenfiddich,Scotch,28,56.3,Speyside,Port,Single Cask,41.79,False,2021,97.0,3,Excellent,Basic
Macallan 9 Tequila Cask,Macallan,Irish,9,41.6,Cork,Tequila,Blended,272.23,True,2000,87.5,0,Medium,Exclusive
Glenfiddich 25 Tequila Cask,Glenfiddich,Irish,25,50.0,Dublin,Tequila,Single Malt,296.95,False,2011,96.1,2,Excellent,Luxury
Ardbeg 11 Tequila Cask,Ardbeg,Bourbon,11,56.6,Tennessee,Tequila,Cask Strength,283.69,False,2025,90.6,3,High,Luxury
Balvenie 16 Port Cask,Balvenie,Scotch,16,58.0,Speyside,Port,Single Malt,352.81,False,2013,92.9,1,High,Luxury
Jameson 3 Wine Cask,Jameson,Rye,3,52.1,USA,Wine,Cask Strength,507.17,False,2025,85.3,0,Medium,Luxury
Macallan NAS Sherry Cask,Macallan,Irish,0,51.7,Dublin,Sherry,Cask Strength,513.83,True,2024,85.3,4,Medium,Luxury
Highland Park 7 Port Cask,Highland Park,Scotch,7,40.6,Speyside,Port,Single Malt,101.93,True,2001,86.4,0,Medium,Premium
Buffalo Trace 12 Tequila Cask,Buffalo Trace,Bourbon,12,55.8,Tennessee,Tequila,Blended,286.56,False,2002,91.4,4,High,Luxury
Highland Park 17 Port Cask,Highland Park,Scotch,17,51.8,Lowlands,Port,Single Malt,290.1,False,2018,92.2,1,High,Luxury
Balvenie 9 Sherry Cask,Balvenie,Rye,9,42.4,Canada,Sherry,Single Cask,512.17,True,2004,89.8,3,Medium,Luxury
Jack Daniel's 17 Tequila Cask,Jack Daniel's,Irish,17,56.4,Cork,Tequila,Blended,222.15,False,2006,91.6,4,High,Exclusive
Macallan 19 Sherry Cask,Macallan,Rye,19,58.0,USA,Sherry,Single Cask,77.35,False,1990,92.3,3,High,Standard
Jameson 23 Tequila Cask,Jameson,Rye,23,42.4,Canada,Tequila,Single Malt,227.97,False,2006,97.4,5,Excellent,Exclusive
Jack Daniel's 10 Rum Cask,Jack Daniel's,Irish,10,50.5,Dublin,Rum,Single Cask,494.25,True,1992,89.7,0,Medium,Luxury
Highland Park 25 Sherry Cask,Highland Park,Scotch,25,41.8,Lowlands,Sherry,Single Cask,352.18,False,2003,92.5,0,High,Luxury
Glenfiddich 7 Sherry Cask,Glenfiddich,Japanese,7,55.4,Honshu,Sherry,Single Cask,66.85,False,2009,89.9,2,Medium,Standard
Lagavulin 21 Tequila Cask,Lagavulin,Rye,21,47.9,USA,Tequila,Single Cask,198.41,False,2023,96.5,1,Excellent,Exclusive
Glenfiddich 14 Tequila Cask,Glenfiddich,Irish,14,44.8,Cork,Tequila,Cask Strength,518.13,False,2002,92.6,1,High,Luxury
Macallan 28 Bourbon Cask,Macallan,Bourbon,28,55.7,Kentucky,Bourbon,Single Cask,524.44,False,2025,98.4,5,Excellent,Luxury
Lagavulin 12 Tequila Cask,Lagavulin,Irish,12,41.8,Dublin,Tequila,Single Cask,479.03,False,2001,92.1,2,High,Luxury
Jameson NAS Bourbon Cask,Jameson,Irish,0,44.0,Cork,Bourbon,Blended,208.25,False,2003,87.2,3,Medium,Exclusive
Balvenie 19 Rum Cask,Balvenie,Scotch,19,41.5,Highlands,Rum,Cask Strength,412.48,False,2013,92.5,0,High,Luxury
Lagavulin 4 Port Cask,Lagavulin,Scotch,4,53.4,Lowlands,Port,Single Cask,240.2,False,2016,85.7,1,Medium,Exclusive
Glenfiddich 15 Sherry Cask,Glenfiddich,Scotch,15,50.7,Speyside,Sherry,Blended,43.36,False,1993,87.7,0,Medium,Basic
Macallan 13 Bourbon Cask,Macallan,Irish,13,53.3,Dublin,Bourbon,Single Malt,432.93,False,2009,92.1,2,High,Luxury
Balvenie 8 Rum Cask,Balvenie,Rye,8,49.4,USA,Rum,Single Malt,160.48,False,2023,86.6,1,Medium,Exclusive
Buffalo Trace 19 Sherry Cask,Buffalo Trace,Irish,19,47.0,Cork,Sherry,Blended,162.78,False,1995,93.9,3,High,Exclusive
Ardbeg 28 Wine Cask,Ardbeg,Bourbon,28,48.4,Tennessee,Wine,Blended,83.88,True,2014,98.8,5,Excellent,Standard
Highland Park 26 Rum Cask,Highland Park,Scotch,26,56.7,Islay,Rum,Blended,537.41,False,2011,91.9,0,High,Luxury
Balvenie 24 Tequila Cask,Balvenie,Bourbon,24,42.4,Tennessee,Tequila,Blended,290.59,False,2016,95.6,3,Excellent,Luxury
Balvenie NAS Wine Cask,Balvenie,Irish,0,42.9,Dublin,Wine,Single Malt,285.5,False,1993,84.6,1,Low,Luxury
Yamazaki 23 Wine Cask,Yamazaki,Irish,23,56.3,Cork,Wine,Single Cask,267.25,True,2021,97.7,2,Excellent,Exclusive
Balvenie NAS Port Cask,Balvenie,Rye,0,44.1,Canada,Port,Single Malt,56.54,False,2024,86.8,0,Medium,Standard
Yamazaki 9 Tequila Cask,Yamazaki,Irish,9,44.8,Dublin,Tequila,Cask Strength,470.21,False,1990,90.8,4,High,Luxury
Balvenie 29 Sherry Cask,Balvenie,Scotch,29,48.1,Speyside,Sherry,Cask Strength,294.17,True,2017,98.5,1,Excellent,Luxury
Yamazaki 9 Sherry Cask,Yamazaki,Bourbon,9,53.7,Kentucky,Sherry,Single Cask,95.78,False,2015,91.4,2,High,Premium
Balvenie 6 Sherry Cask,Balvenie,Bourbon,6,59.4,Tennessee,Sherry,Cask Strength,33.14,False,2025,94.2,5,High,Basic
Lagavulin NAS Port Cask,Lagavulin,Bourbon,0,56.2,Tennessee,Port,Single Cask,503.77,False,2006,83.4,0,Low,Luxury
Macallan 9 Rum Cask,Macallan,Rye,9,48.0,USA,Rum,Blended,274.05,True,2004,91.1,0,High,Exclusive
Ardbeg 27 Wine Cask,Ardbeg,Japanese,27,41.2,Hokkaido,Wine,Single Malt,348.35,False,2000,91.1,0,High,Luxury
Balvenie NAS Sherry Cask,Balvenie,Irish,0,49.9,Dublin,Sherry,Single Malt,460.37,False,2017,84.1,0,Low,Luxury
Jameson NAS Tequila Cask,Jameson,Bourbon,0,44.3,Kentucky,Tequila,Blended,33.66,False,2007,85.3,0,Medium,Basic
Lagavulin 23 Bourbon Cask,Lagavulin,Bourbon,23,52.6,Kentucky,Bourbon,Cask Strength,545.12,False,2009,94.4,1,High,Luxury
Jack Daniel's 10 Rum Cask,Jack Daniel's,Rye,10,56.2,Canada,Rum,Single Cask,468.17,False,2003,92.5,3,High,Luxury
Balvenie 7 Rum Cask,Balvenie,Rye,7,42.1,USA,Rum,Cask Strength,145.57,False,2014,87.1,0,Medium,Exclusive
Jack Daniel's 16 Rum Cask,Jack Daniel's,Scotch,16,42.2,Lowlands,Rum,Blended,255.5,False,2001,92.3,0,High,Exclusive
Balvenie 50 Tequila Cask,Balvenie,Scotch,50,34.2,Unknown,Tequila,Single Cask,255.68,False,2002,101.9,1,Excellent,Exclusive
Jack Daniel's 18 Wine Cask,Jack Daniel's,Bourbon,18,51.8,Tennessee,Wine,Blended,333.82,False,2016,93.0,0,High,Luxury
Ardbeg 19 Tequila Cask,Ardbeg,Irish,19,42.7,Cork,Tequila,Blended,397.98,False,2012,92.3,1,High,Luxury
Highland Park 4 Wine Cask,Highland Park,Japanese,4,42.3,Honshu,Wine,Single Cask,469.35,False,1992,83.7,0,Low,Luxury
Buffalo Trace 14 Rum Cask,Buffalo Trace,Japanese,14,44.9,Honshu,Rum,Single Cask,379.31,True,2016,88.5,0,Medium,Luxury
Balvenie 6 Port Cask,Balvenie,Scotch,6,42.7,Highlands,Port,Cask Strength,476.86,False,2025,88.0,2,Medium,Luxury
Macallan 16 Sherry Cask,Macallan,Japanese,16,44.3,Honshu,Sherry,Cask Strength,93.51,False,1999,90.4,1,High,Premium
Ardbeg 13 Port Cask,Ardbeg,Japanese,13,44.7,Hokkaido,Port,Blended,285.82,True,2023,90.0,1,High,Luxury
Glenfiddich 27 Bourbon Cask,Glenfiddich,Rye,27,47.1,USA,Bourbon,Cask Strength,99.68,False,1991,97.6,2,Excellent,Premium
Lagavulin 20 Bourbon Cask,Lagavulin,Scotch,20,53.4,Islay,Bourbon,Single Malt,56.32,False,2018,97.6,4,Excellent,Standard
Macallan NAS Bourbon Cask,Macallan,Bourbon,0,58.5,Tennessee,Bourbon,Cask Strength,127.06,False,2003,88.5,2,Medium,Premium
Ardbeg 15 Bourbon Cask,Ardbeg,Irish,15,59.2,Dublin,Bourbon,Single Malt,43.07,False,2016,87.9,2,Medium,Basic
Ardbeg 21 Port Cask,Ardbeg,Scotch,21,59.5,Highlands,Port,Single Cask,399.1,False,2006,90.8,0,High,Luxury
Glenfiddich 6 Rum Cask,Glenfiddich,Japanese,6,47.4,Honshu,Rum,Cask Strength,336.21,True,2006,86.1,1,Medium,Luxury
Highland Park 17 Port Cask,Highland Park,Bourbon,17,55.8,Kentucky,Port,Single Cask,56.38,False,2018,92.4,2,High,Standard
Buffalo Trace 18 Rum Cask,Buffalo Trace,Bourbon,18,56.0,Tennessee,Rum,Single Cask,465.63,False,2018,94.9,4,High,Luxury
Jameson NAS Tequila Cask,Jameson,Irish,0,56.5,Dublin,Tequila,Cask Strength,343.06,False,2007,88.3,1,Medium,Luxury
Balvenie 9 Rum Cask,Balvenie,Rye,9,49.4,USA,Rum,Single Malt,400.13,False,2018,85.2,0,Medium,Luxury
Macallan 26 Rum Cask,Macallan,Rye,26,49.4,Canada,Rum,Single Cask,475.26,False,2004,96.9,3,Excellent,Luxury
Glenfiddich 15 Port Cask,Glenfiddich,Bourbon,15,58.0,Tennessee,Port,Cask Strength,258.82,False,2012,91.7,1,High,Exclusive
Jack Daniel's 20 Port Cask,Jack Daniel's,Irish,20,49.7,Dublin,Port,Single Cask,357.61,False,2008,93.9,3,High,Luxury
Lagavulin 24 Tequila Cask,Lagavulin,Rye,24,42.9,USA,Tequila,Blended,138.18,False,1990,94.2,2,High,Exclusive
Macallan 16 Port Cask,Macallan,Bourbon,16,51.3,Tennessee,Port,Blended,409.23,True,1998,89.0,0,Medium,Luxury
Jack Daniel's 26 Port Cask,Jack Daniel's,Bourbon,26,42.9,Kentucky,Port,Cask Strength,414.99,False,2009,93.8,1,High,Luxury
Yamazaki 29 Rum Cask,Yamazaki,Rye,29,45.3,USA,Rum,Blended,352.76,False,1999,95.2,1,Excellent,Luxury
Glenfiddich 19 Sherry Cask,Glenfiddich,Rye,19,51.0,Canada,Sherry,Blended,34.87,False,2005,88.4,0,Medium,Basic
Jameson 29 Wine Cask,Jameson,Scotch,29,51.3,Speyside,Wine,Single Cask,192.67,False,1996,96.4,2,Excellent,Exclusive
Yamazaki 27 Port Cask,Yamazaki,Japanese,27,45.8,Hokkaido,Port,Single Malt,471.2,True,2010,95.1,3,Excellent,Luxury
Ardbeg 17 Bourbon Cask,Ardbeg,Bourbon,17,41.7,Tennessee,Bourbon,Single Cask,333.59,True,2014,91.6,0,High,Luxury
Ardbeg 27 Port Cask,Ardbeg,Scotch,27,59.1,Islay,Port,Blended,285.77,False,1992,91.7,1,High,Luxury
Lagavulin 22 Tequila Cask,Lagavulin,Rye,22,48.5,USA,Tequila,Single Malt,204.83,False,1993,94.9,3,High,Exclusive
Lagavulin 23 Wine Cask,Lagavulin,Japanese,23,55.5,Honshu,Wine,Cask Strength,394.25,False,2017,94.8,2,High,Luxury
Highland Park 29 Port Cask,Highland Park,Scotch,29,41.7,Highlands,Port,Single Malt,101.07,False,2005,94.7,0,High,Premium
Macallan 8 Rum Cask,Macallan,Irish,8,59.4,Dublin,Rum,Blended,91.29,False,1991,88.8,0,Medium,Premium
Glenfiddich 27 Rum Cask,Glenfiddich,Scotch,27,56.6,Speyside,Rum,Blended,212.93,False,2023,95.2,1,Excellent,Exclusive
Jameson 25 Sherry Cask,Jameson,Irish,25,56.3,Dublin,Sherry,Cask Strength,165.66,False,2005,94.8,1,High,Exclusive
Jack Daniel's 29 Sherry Cask,Jack Daniel's,Irish,29,57.8,Dublin,Sherry,Cask Strength,333.8,True,2024,93.8,0,High,Luxury
Ardbeg 3 Rum Cask,Ardbeg,Rye,3,49.7,USA,Rum,Cask Strength,409.77,False,1992,88.6,2,Medium,Luxury
Macallan 8 Tequila Cask,Macallan,Bourbon,8,44.0,Kentucky,Tequila,Blended,313.1,False,1993,89.9,1,Medium,Luxury
Highland Park 25 Wine Cask,Highland Park,Bourbon,25,54.3,Kentucky,Wine,Cask Strength,455.71,False,2000,97.2,1,Excellent,Luxury
Glenfiddich 14 Bourbon Cask,Glenfiddich,Irish,14,44.6,Cork,Bourbon,Single Cask,71.9,False,2017,93.3,2,High,Standard
Glenfiddich 3 Sherry Cask,Glenfiddich,Irish,3,46.1,Cork,Sherry,Single Cask,31.95,False,2014,87.3,1,Medium,Basic
Macallan 5 Rum Cask,Macallan,Bourbon,5,44.7,Tennessee,Rum,Cask Strength,36.54,True,2001,89.7,3,Medium,Basic
Glenfiddich 29 Bourbon Cask,Glenfiddich,Irish,29,54.4,Cork,Bourbon,Blended,331.34,False,2015,97.8,2,Excellent,Luxury
Glenfiddich 20 Port Cask,Glenfiddich,Bourbon,20,44.9,Kentucky,Port,Single Cask,457.18,False,1996,92.6,1,High,Luxury
Balvenie 19 Sherry Cask,Balvenie,Scotch,19,57.0,Highlands,Sherry,Single Malt,116.33,False,2025,92.7,1,High,Premium
Highland Park 20 Bourbon Cask,Highland Park,Rye,20,41.1,Canada,Bourbon,Single Cask,319.87,False,2009,97.9,4,Excellent,Luxury
Lagavulin 27 Port Cask,Lagavulin,Irish,27,55.2,Cork,Port,Single Malt,406.5,False,2012,98.0,0,Excellent,Luxury
Lagavulin 5 Bourbon Cask,Lagavulin,Rye,5,57.1,USA,Bourbon,Blended,70.73,True,2009,86.7,1,Medium,Standard
Buffalo Trace 19 Port Cask,Buffalo Trace,Bourbon,19,54.8,Tennessee,Port,Single Cask,163.73,True,2016,94.3,1,High,Exclusive
Glenfiddich 3 Rum Cask,Glenfiddich,Bourbon,3,41.1,Kentucky,Rum,Blended,241.07,False,1996,91.0,2,High,Exclusive
Highland Park 25 Rum Cask,Highland Park,Rye,25,45.0,Canada,Rum,Blended,57.16,False,2017,94.3,1,High,Standard
Lagavulin NAS Wine Cask,Lagavulin,Irish,0,48.8,Dublin,Wine,Blended,199.61,False,2016,91.6,4,High,Exclusive
Glenfiddich 5 Bourbon Cask,Glenfiddich,Japanese,5,43.7,Honshu,Bourbon,Blended,440.82,False,2015,87.1,1,Medium,Luxury
Lagavulin 8 Wine Cask,Lagavulin,Rye,8,47.3,Canada,Wine,Blended,445.58,False,2014,87.7,0,Medium,Luxury
Jameson 24 Bourbon Cask,Jameson,Rye,24,47.9,Canada,Bourbon,Single Cask,255.04,False,1994,96.7,3,Excellent,Exclusive
Buffalo Trace 21 Bourbon Cask,Buffalo Trace,Scotch,21,48.5,Islay,Bourbon,Single Cask,235.26,False,1994,90.7,1,High,Exclusive
Lagavulin 25 Rum Cask,Lagavulin,Rye,25,44.0,USA,Rum,Single Malt,382.99,True,2021,93.9,1,High,Luxury
Lagavulin 9 Wine Cask,Lagavulin,Bourbon,9,41.1,Kentucky,Wine,Single Malt,34.7,True,2004,90.4,1,High,Basic
Buffalo Trace 18 Bourbon Cask,Buffalo Trace,Bourbon,18,51.4,Kentucky,Bourbon,Single Malt,393.55,True,2006,92.0,0,High,Luxury
Macallan 28 Bourbon Cask,Macallan,Bourbon,28,41.5,Tennessee,Bourbon,Single Cask,151.09,False,2020,94.8,1,High,Exclusive
Balvenie 29 Sherry Cask,Balvenie,Rye,29,53.7,Canada,Sherry,Blended,43.66,True,1997,95.8,0,Excellent,Basic
Jack Daniel's 12 Tequila Cask,Jack Daniel's,Rye,12,47.8,USA,Tequila,Single Cask,221.71,False,2012,92.2,1,High,Exclusive
Macallan 28 Sherry Cask,Macallan,Rye,28,56.3,Canada,Sherry,Cask Strength,317.28,False,1992,94.2,0,High,Luxury
Lagavulin NAS Tequila Cask,Lagavulin,Rye,0,54.7,Canada,Tequila,Blended,240.06,False,2017,89.0,3,Medium,Exclusive
Jameson 5 Rum Cask,Jameson,Japanese,5,46.0,Honshu,Rum,Single Cask,314.51,False,2005,89.4,3,Medium,Luxury
